Catégorie,Valeur,Nombre d'étudiants,Texte
Sexe,Femme,6494,51.4% des étudiants dyslexiques sont Femme
Sexe,Homme,5943,47.0% des étudiants dyslexiques sont Homme
Age,Entre 16 et 20 ans,5222,41.3% des étudiants dyslexiques ont entre Entre 16 et 20 ans
Age,Entre 21 et 22 ans,3993,31.6% des étudiants dyslexiques ont entre Entre 21 et 22 ans
Age,Entre 23 et 25 ans,2550,20.2% des étudiants dyslexiques ont entre Entre 23 et 25 ans
Age,26 ans ou plus,692,5.5% des étudiants dyslexiques ont entre 26 ans ou plus
Formation,Licence (dont professionnelle et accŠs sant‚),6108,48.3% des étudiants dyslexiques sont inscrits en Licence (dont professionnelle et accŠs sant‚)
Formation,Master (dont MEEF),1747,13.8% des étudiants dyslexiques sont inscrits en Master (dont MEEF)
Formation,BUT,1625,12.9% des étudiants dyslexiques sont inscrits en BUT
Formation,Sant‚,1012,8.0% des étudiants dyslexiques sont inscrits en Sant‚
Formation,Ing‚nieurs,1003,7.9% des étudiants dyslexiques sont inscrits en Ing‚nieurs
Formation,Autre,1115,8.8% des étudiants dyslexiques sont dans d’autres cas pour la catégorie formation
Filiere,Sciences et informatiques,4047,32.0% des étudiants dyslexiques suivent une filière en Sciences et informatiques
Filiere,Lettres et sciences humaines,3457,27.3% des étudiants dyslexiques suivent une filière en Lettres et sciences humaines
Filiere,"Droit, Sciences ‚co,
gestion, AES",2616,"20.7% des étudiants dyslexiques suivent une filière en Droit, Sciences ‚co,
gestion, AES"
Filiere,Sant‚,1030,8.1% des étudiants dyslexiques suivent une filière en Sant‚
Filiere,Staps,700,5.5% des étudiants dyslexiques suivent une filière en Staps
Filiere,Autre,724,5.7% des étudiants dyslexiques sont dans d’autres cas pour la catégorie filiere
Académie,Acad‚mie de Lyon,1269,10.0% des étudiants dyslexiques sont inscrits à l’Acad‚mie de Lyon
Académie,Acad‚mie de Montpellier,910,7.2% des étudiants dyslexiques sont inscrits à l’Acad‚mie de Montpellier
Académie,Acad‚mie de Toulouse,834,6.6% des étudiants dyslexiques sont inscrits à l’Acad‚mie de Toulouse
Académie,Acad‚mie de Grenoble,783,6.2% des étudiants dyslexiques sont inscrits à l’Acad‚mie de Grenoble
Académie,Acad‚mie de Rennes,765,6.0% des étudiants dyslexiques sont inscrits à l’Acad‚mie de Rennes
Académie,Acad‚mie de Lille,744,5.9% des étudiants dyslexiques sont inscrits à l’Acad‚mie de Lille
Académie,Acad‚mie d'Aix-Marseille,701,5.5% des étudiants dyslexiques sont inscrits à l’Acad‚mie d'Aix-Marseille
Académie,Acad‚mie de Paris,694,5.5% des étudiants dyslexiques sont inscrits à l’Acad‚mie de Paris
Académie,Acad‚mie de Versailles,666,5.3% des étudiants dyslexiques sont inscrits à l’Acad‚mie de Versailles
Académie,Acad‚mie de Normandie,636,5.0% des étudiants dyslexiques sont inscrits à l’Acad‚mie de Normandie
Académie,Autre,4643,36.7% des étudiants dyslexiques sont dans d’autres cas pour la catégorie académie
